,medianHouseValue
0,151200.0
1,264400.0
2,308600.0
3,239200.0
4,108200.0
5,66600.0
6,454100.0
7,118800.0
8,174400.0
9,500001.0
10,321100.0
11,324200.0
12,231900.0
13,87800.0
14,227800.0
15,140200.0
16,72300.0
17,176100.0
18,255600.0
19,178100.0
20,64900.0
21,128300.0
22,175600.0
23,190000.0
24,128300.0
25,129800.0
26,80600.0
27,125000.0
28,170300.0
29,177600.0
30,159900.0
31,157300.0
32,177900.0
33,391300.0
34,274300.0
35,500001.0
36,135300.0
37,59300.0
38,229200.0
39,190300.0
40,172900.0
41,183800.0
42,225000.0
43,117700.0
44,125900.0
45,197500.0
46,367300.0
47,276500.0
48,214900.0
49,451800.0
50,172300.0
51,154800.0
52,158200.0
53,329400.0
54,279400.0
55,128700.0
56,500001.0
57,168800.0
58,263500.0
59,143600.0
60,357000.0
61,228600.0
62,200000.0
63,67500.0
64,182500.0
65,288200.0
66,169300.0
67,133200.0
68,219400.0
69,152200.0
70,187100.0
71,102500.0
72,149600.0
73,218200.0
74,175000.0
75,165500.0
76,277600.0
77,211500.0
78,173400.0
79,375000.0
80,104600.0
81,186700.0
82,246000.0
83,263400.0
84,500000.0
85,147900.0
86,364300.0
87,118800.0
88,234800.0
89,229000.0
90,289400.0
91,111600.0
92,155000.0
93,114100.0
94,86900.0
95,184200.0
96,192600.0
97,57600.0
98,113900.0
99,133900.0
100,182600.0
101,200000.0
102,165000.0
103,86100.0
104,229200.0
105,106900.0
106,209700.0
107,61500.0
108,108300.0
109,431900.0
110,305800.0
111,104400.0
112,500001.0
113,210900.0
114,72900.0
115,157500.0
116,62200.0
117,117300.0
118,371600.0
119,164000.0
120,70000.0
121,145800.0
122,376000.0
123,129400.0
124,87500.0
125,67000.0
126,375000.0
127,239600.0
128,138500.0
129,163300.0
130,251000.0
131,75000.0
132,178100.0
133,187300.0
134,141900.0
135,84700.0
136,118500.0
137,112500.0
138,120800.0
139,147100.0
140,215000.0
141,275100.0
142,50000.0
143,238500.0
144,213200.0
145,47700.0
146,190000.0
147,326700.0
148,393200.0
149,500001.0
150,175000.0
151,441100.0
152,115200.0
153,143500.0
154,70800.0
155,93800.0
156,108900.0
157,500001.0
158,206800.0
159,134900.0
160,447100.0
161,225000.0
162,210200.0
163,425000.0
164,170800.0
165,302400.0
166,106300.0
167,57800.0
168,34600.0
169,238000.0
170,220900.0
171,118500.0
172,225000.0
173,256000.0
174,231300.0
175,462900.0
176,85200.0
177,115300.0
178,122200.0
179,148300.0
180,215000.0
181,194100.0
182,118800.0
183,264700.0
184,181600.0
185,107900.0
186,201900.0
187,201600.0
188,297300.0
189,268800.0
190,225000.0
191,85300.0
192,243800.0
193,138000.0
194,290900.0
195,117000.0
196,173400.0
197,237500.0
198,56500.0
199,158500.0
200,298100.0
201,265000.0
202,94700.0
203,217100.0
204,247800.0
205,446100.0
206,103800.0
207,281900.0
208,58000.0
209,121600.0
210,250000.0
211,92600.0
212,118800.0
213,458300.0
214,92400.0
215,383300.0
216,191700.0
217,159900.0
218,280200.0
219,50000.0
220,103800.0
221,143100.0
222,397300.0
223,122700.0
224,216700.0
225,90200.0
226,254100.0
227,160800.0
228,157900.0
229,86300.0
230,77100.0
231,227000.0
232,265600.0
233,91600.0
234,188500.0
235,184600.0
236,137500.0
237,125000.0
238,104500.0
239,367100.0
240,281100.0
241,136400.0
242,81300.0
243,190600.0
244,420200.0
245,315500.0
246,107800.0
247,101900.0
248,373800.0
249,218400.0
250,137000.0
251,67200.0
252,187500.0
253,125000.0
254,218900.0
255,237500.0
256,174600.0
257,180400.0
258,147500.0
259,245500.0
260,39600.0
261,380400.0
262,327300.0
263,71100.0
264,116400.0
265,138100.0
266,262500.0
267,83400.0
268,58600.0
269,67500.0
270,204500.0
271,258800.0
272,139400.0
273,264700.0
274,275000.0
275,171600.0
276,420300.0
277,173300.0
278,187500.0
279,155600.0
280,48700.0
281,362100.0
282,114300.0
283,42500.0
284,310800.0
285,188900.0
286,68600.0
287,159600.0
288,202100.0
289,87500.0
290,369700.0
291,65600.0
292,314200.0
293,225000.0
294,272800.0
295,95000.0
296,113300.0
297,500001.0
298,158700.0
299,213000.0
300,240300.0
301,119200.0
302,94900.0
303,196300.0
304,53600.0
305,214800.0
306,500000.0
307,359900.0
308,227100.0
309,118400.0
310,371200.0
311,181300.0
312,252000.0
313,309100.0
314,99400.0
315,162000.0
316,117200.0
317,121400.0
318,275000.0
319,116700.0
320,148700.0
321,243200.0
322,186000.0
323,93400.0
324,462200.0
325,263200.0
326,178200.0
327,196100.0
328,61900.0
329,139200.0
330,137500.0
331,181800.0
332,197100.0
333,103000.0
334,113700.0
335,270700.0
336,56100.0
337,120700.0
338,53200.0
339,173800.0
340,192800.0
341,64100.0
342,68100.0
343,255200.0
344,500001.0
345,337000.0
346,350000.0
347,223900.0
348,172100.0
349,128900.0
350,167000.0
351,250000.0
352,142900.0
353,436100.0
354,163200.0
355,182100.0
356,103100.0
357,188500.0
358,189600.0
359,311400.0
360,132000.0
361,57500.0
362,336000.0
363,384400.0
364,423200.0
365,358600.0
366,224200.0
367,173400.0
368,344000.0
369,206700.0
370,157800.0
371,129800.0
372,208700.0
373,173800.0
374,120900.0
375,222000.0
376,400000.0
377,59000.0
378,179700.0
379,90400.0
380,58800.0
381,166300.0
382,208300.0
383,156800.0
384,163100.0
385,135500.0
386,212500.0
387,231800.0
388,381800.0
389,124500.0
390,136400.0
391,400000.0
392,176000.0
393,112700.0
394,96000.0
395,190400.0
396,146500.0
397,217200.0
398,87500.0
399,166400.0
400,336700.0
401,191100.0
402,137500.0
403,83000.0
404,63800.0
405,252100.0
406,139300.0
407,380300.0
408,164500.0
409,243200.0
410,160100.0
411,225000.0
412,165000.0
413,230700.0
414,163200.0
415,215400.0
416,294500.0
417,277700.0
418,322300.0
419,302500.0
420,60900.0
421,157300.0
422,297900.0
423,205400.0
424,396800.0
425,135400.0
426,115400.0
427,191700.0
428,500001.0
429,114300.0
430,415900.0
431,187500.0
432,222600.0
433,412500.0
434,92000.0
435,278100.0
436,267200.0
437,261800.0
438,96800.0
439,475000.0
440,196600.0
441,188900.0
442,90000.0
443,204200.0
444,182700.0
445,343400.0
446,213400.0
447,328500.0
448,164000.0
449,61100.0
450,220000.0
451,148000.0
452,251900.0
453,336500.0
454,190700.0
455,332400.0
456,88200.0
457,77300.0
458,154000.0
459,191900.0
460,355300.0
461,430300.0
462,47800.0
463,267400.0
464,297800.0
465,110700.0
466,202800.0
467,109400.0
468,49500.0
469,119200.0
470,453400.0
471,193800.0
472,355200.0
473,187500.0
474,192300.0
475,288300.0
476,400000.0
477,192200.0
478,159500.0
479,181700.0
480,116100.0
481,114500.0
482,152200.0
483,151900.0
484,264100.0
485,156900.0
486,144300.0
487,84500.0
488,500001.0
489,170900.0
490,239600.0
491,163500.0
492,438900.0
493,98000.0
494,338900.0
495,285400.0
496,256700.0
497,144100.0
498,176100.0
499,192300.0
500,211900.0
501,161400.0
502,453700.0
503,81600.0
504,165400.0
505,92500.0
506,150000.0
507,99300.0
508,107200.0
509,97200.0
510,212500.0
511,162500.0
512,393100.0
513,174800.0
514,285800.0
515,242300.0
516,109500.0
517,145200.0
518,216000.0
519,78700.0
520,231600.0
521,418300.0
522,233700.0
523,240900.0
524,95200.0
525,112200.0
526,133900.0
527,247100.0
528,129400.0
529,92400.0
530,135000.0
531,128300.0
532,162100.0
533,201700.0
534,165500.0
535,62500.0
536,305200.0
537,81300.0
538,233200.0
539,337600.0
540,147500.0
541,103200.0
542,500001.0
543,84700.0
544,67600.0
545,168800.0
546,204200.0
547,132200.0
548,260100.0
549,346900.0
550,226600.0
551,240700.0
552,331300.0
553,98400.0
554,158100.0
555,206700.0
556,91700.0
557,189800.0
558,162500.0
559,323700.0
560,79600.0
561,128100.0
562,156700.0
563,269300.0
564,125000.0
565,241700.0
566,152200.0
567,300000.0
568,233300.0
569,254100.0
570,116000.0
571,178100.0
572,117000.0
573,134900.0
574,500001.0
575,324600.0
576,177500.0
577,487100.0
578,100000.0
579,95700.0
580,366700.0
581,226300.0
582,168600.0
583,64800.0
584,93900.0
585,356000.0
586,363500.0
587,235600.0
588,279600.0
589,92700.0
590,270500.0
591,92600.0
592,88800.0
593,237100.0
594,144000.0
595,183300.0
596,143500.0
597,316700.0
598,325700.0
599,109800.0
600,75000.0
601,184100.0
602,189600.0
603,114900.0
604,359600.0
605,113700.0
606,125800.0
607,52100.0
608,228700.0
609,190600.0
610,67500.0
611,111800.0
612,73800.0
613,45500.0
614,181300.0
615,410400.0
616,371800.0
617,68900.0
618,289300.0
619,155800.0
620,271400.0
621,178000.0
622,219400.0
623,56100.0
624,159500.0
625,394700.0
626,225300.0
627,109400.0
628,137500.0
629,263700.0
630,174100.0
631,158400.0
632,132800.0
633,193800.0
634,173600.0
635,143100.0
636,112800.0
637,283300.0
638,88600.0
639,186100.0
640,122200.0
641,153500.0
642,76400.0
643,500001.0
644,95600.0
645,237500.0
646,150000.0
647,62200.0
648,270000.0
649,213100.0
650,129700.0
651,134200.0
652,204200.0
653,220000.0
654,181800.0
655,272600.0
656,241400.0
657,138800.0
658,85500.0
659,119800.0
660,386200.0
661,236400.0
662,143400.0
663,271200.0
664,90000.0
665,101500.0
666,500001.0
667,162700.0
668,500001.0
669,164300.0
670,82100.0
671,116700.0
672,155000.0
673,116500.0
674,353700.0
675,500001.0
676,140600.0
677,182300.0
678,131800.0
679,393800.0
680,183600.0
681,171700.0
682,232200.0
683,138100.0
684,142000.0
685,247900.0
686,54800.0
687,269700.0
688,323100.0
689,122300.0
690,476700.0
691,225900.0
692,386200.0
693,267200.0
694,251400.0
695,279300.0
696,346200.0
697,52800.0
698,194200.0
699,365900.0
700,308800.0
701,240300.0
702,134600.0
703,190300.0
704,113900.0
705,197200.0
706,255200.0
707,244000.0
708,58200.0
709,67800.0
710,69400.0
711,174500.0
712,59600.0
713,271700.0
714,175000.0
715,226900.0
716,278600.0
717,480800.0
718,235000.0
719,118400.0
720,330800.0
721,216500.0
722,113600.0
723,53500.0
724,166300.0
725,188700.0
726,184900.0
727,145900.0
728,158500.0
729,140600.0
730,206200.0
731,156300.0
732,322700.0
733,148900.0
734,445700.0
735,500001.0
736,271100.0
737,98100.0
738,219200.0
739,271300.0
740,423900.0
741,355200.0
742,300300.0
743,292000.0
744,210400.0
745,214600.0
746,199700.0
747,99500.0
748,92400.0
749,152100.0
750,91300.0
751,79400.0
752,95500.0
753,266100.0
754,268400.0
755,229200.0
756,112800.0
757,500001.0
758,45800.0
759,163500.0
760,272300.0
761,63900.0
762,201400.0
763,238500.0
764,154400.0
765,171500.0
766,303400.0
767,405000.0
768,205600.0
769,155700.0
770,187200.0
771,253600.0
772,122500.0
773,382100.0
774,329800.0
775,175200.0
776,333100.0
777,216000.0
778,172600.0
779,314100.0
780,335300.0
781,135500.0
782,221200.0
783,246100.0
784,119600.0
785,224500.0
786,158000.0
787,155500.0
788,345000.0
789,440100.0
790,220300.0
791,91200.0
792,459600.0
793,344700.0
794,191100.0
795,50900.0
796,311600.0
797,352700.0
798,241700.0
799,166700.0
800,213400.0
801,90300.0
802,184200.0
803,279900.0
804,176000.0
805,124000.0
806,196900.0
807,110400.0
808,281300.0
809,166800.0
810,154900.0
811,193100.0
812,192200.0
813,500001.0
814,269300.0
815,142000.0
816,121500.0
817,439200.0
818,111900.0
819,173300.0
820,83900.0
821,334700.0
822,206400.0
823,240600.0
824,55000.0
825,271500.0
826,236400.0
827,64500.0
828,304500.0
829,126500.0
830,258100.0
831,331800.0
832,145700.0
833,158400.0
834,400000.0
835,99200.0
836,210100.0
837,377600.0
838,84700.0
839,203300.0
840,247600.0
841,175000.0
842,319400.0
843,224000.0
844,251300.0
845,170800.0
846,330500.0
847,183900.0
848,386700.0
849,281300.0
850,153100.0
851,355600.0
852,88600.0
853,254700.0
854,160700.0
855,300000.0
856,273500.0
857,186800.0
858,174500.0
859,175000.0
860,431300.0
861,236500.0
862,214000.0
863,275000.0
864,100500.0
865,177000.0
866,112500.0
867,175000.0
868,240000.0
869,121500.0
870,77100.0
871,169200.0
872,121100.0
873,212900.0
